isbn	rgtn	ymd	title	ser	auth	cls1	cls2	cls3	pub	pubyr
	10265	19830331	イビデン７０年史		イビデン株式会社社史編集室．編		ｲ		イビデン株式会社	1982
	10294	19830331	廣漢和辞典　上	辞典	諸橋　轍次／鎌田　正／米山　寅太郎．共著	813.2	ﾓﾃ	上	大修館書店	1981
	10295	19830331	廣漢和辞典　中	辞典	諸橋　轍次／鎌田　正／米山　寅太郎．共著	813.2	ﾓﾃ	中	大修館書店	1982
	10296	19830331	廣漢和辞典　下	辞典	諸橋　轍次／鎌田　正／米山　寅太郎．共著	813.2	ﾓﾃ	下	大修館書店	1982
	11157	19830619	新英和中辞典	辞典	研究社	833	ｹ	1	研究社	1982
	11646	19831126	崑崙山への昇仙　--古代中国人が描いた死後の世界--	中公新書６３５	曽布川　寛	186.7	ｿ		中央公論社	1981
	11756	19831224	山伏　--入峰・修行・呪法--	中公新書４８	和歌森　太郎	188.59	ﾜ		中央公論社	1964
	11993	19831228	禅思想　--その原型をあらう--	中公新書４００	柳田　聖山	188.8	ﾔ		中央公論社	1975
	12337	19840205	北の国から　前編		倉本　聰	912.7	ｸ	1	理論社	1982
	12436	19840222	経済学大辞典　\x87T		編集委員	330.3	ﾄ	1	東洋経済新報社	1981
	12437	19840222	経済学大辞典　\x87U		編集委員	330.3	ﾄ	2	東洋経済新報社	1980
	12439	19840222	角川日本地名大辞典　２１　／岐阜県	地名辞典	編纂委員会	291.03	ｶ	21	角川書店	1980
	13119	19840726	講座　日本近代文学史　１		小田切　秀雄．編	910.26	ｵ	1	大月書店	1656
	13120	19840726	講座　日本近代文学史　２		小田切　秀雄．編	910.26	ｵ	2	大月書店	1656
	13121	19840726	講座　日本近代文学史　３		小田切　秀雄．編	910.26	ｵ	3	大月書店	1656
	13122	19840726	講座　日本近代文学史　４		小田切　秀雄．編	910.26	ｵ	4	大月書店	1957
	13123	19840726	講座　日本近代文学史　５		小田切　秀雄．編	910.26	ｵ	5	大月書店	1957
	13169	19840726	超人間　／肉体と精神を改造する科学／	カッパブックス	Ｒ・エッチンガー／久保　智洋．訳	469	ｴ		光文社	1977
	13203	19840726	三光　--日本人の中国における戦争犯罪の告白--	ｶｯﾊﾟﾌﾞｯｸｽ	神吉　晴夫	329.67	ｶ		光文社	1962
	13228	19840726	みみずく説法	カッパ・ブックス	今　東光	184	ｺ		光文社	1957
	13349	19840727	歎異抄入門　--この乱世を生き抜くための知恵	カッパ・ブックス	本多　顕彰	188.7	ﾎ		光文社	1964
	13383	19840727	３分間スピーチ　／一人一人の心に、強烈な感動を・・・・／	カッパブックス	諸星　龍	809.4	ﾓ		光文社	1964
	13403	19840727	黄色い部屋　／スガモ・プリズンの通訳医者／	カッパブックス	吉浦　亀雄	326.52	ﾖ		光文社	1957
	13507	19840828	岐阜県百科事典　上	事典	岐阜県百科事典制作委員会	291.53	ｷﾞ	上	岐阜日日新聞社	1968
	13508	19840828	岐阜県百科事典　下	事典	岐阜県百科事典制作委員会	291.53	ｷﾞ	下	岐阜日日新聞社	1968
	14145	19850318	太宰治全集　９	全集	太宰　治	918.6	ﾀﾞｻﾞ	9	筑摩書房	1983
	14165	19890929	時事年鑑　昭和五十八年	年鑑	時事通信社	059	ｼﾞ	1983	時事通信社出版局	1982
	14166	19890929	時事年鑑　昭和五十九年	年鑑	時事通信社	059	ｼﾞ	1984	時事通信社出版局	1983
9784-586300303	14393	19850506	原色日本両生爬虫類図鑑	図鑑	中村　健児／上野　俊一	487.8	ﾎ		保育社	1984
	14536	19850710	九つの空	朝日文庫	團　伊玖磨	916	ﾀﾞｲ		朝日新聞社	1979
9784-641000025	14651	19850727	新法律学辞典　【新版】		我妻　栄	321	ﾜｻ		有斐閣	1984
9784-250790034	14652	19850727	日本社会運動人名辞典	辞典	塩田　庄兵衛	309.02	ｼｼ		青木書店	1983
9784-583024066	14696	19850727	チャナディのサッカー　【新版】		アルパド・チャナディ／宮川　毅．訳	783.47	ﾁ		ベースボール・マガジン社	1984
	14754	19850803	西洋音楽散歩		柴田　南雄	762.3	ｼﾐ		青土社	1979
	14851	19850808	現代ヨーロッパの言語	岩波新書Ｙ２９２	田中　克彦／Ｈ．ハールマン	800	ﾀ	   	岩波書店	1985
	14954	19850809	新明解漢和辞典　【第二版】	辞典	長澤　規矩也．編	813.2	ﾅｷ		三省堂	1983
	14955	19850809	新明解漢和辞典	辞典	長澤　規矩也．編	813.2	ﾅｷ		三省堂	1981
9784-313011618	15081	19850814	教育小六法　／昭和６１年版	法律書	兼子　仁．編	373.2	ｶﾋ		学陽書房	1985
	15238	19851016	大学でなにを学ぶか	岩波ジュニア新書３８	隅谷　三喜男	377	ｽ		岩波書店	1985
	15590	19860305	和泉式部日記	岩波文庫	和泉式部／清水　文雄．校注	911.34	ｼ		岩波書店	1984
9784-010621936	15695	19860723	アダムとイヴの日記	旺文社文庫	マーク・トウェイン／大久保　博．訳	933	ﾄ		旺文社	1986
9784-010640715	15754	19860723	雨月物語 : 現代語訳対照	旺文社文庫	[上田秋成著] ; 大輪靖宏訳注	913.5	ｳｴ		岩波書店	1979
9784-652071014	15803	19860723	兎の眼		灰谷　健次郎	913.6	ﾊｲ		理論社	1986
9784-010611012	15839	19860723	細雪　上巻	旺文社文庫	谷崎　潤一郎	913.6	ﾀﾆ	上	旺文社	1983
9784-010611029	15840	19860723	細雪　中巻	旺文社文庫	谷崎　潤一郎	913.6	ﾀﾆ	中	旺文社	1983
9784-010611036	15841	19860723	細雪　下巻	旺文社文庫	谷崎　潤一郎	913.6	ﾀﾆ	下	旺文社	
	15889	19860723	ギリシア・ローマの神話　／人間に似た神さまたち／	世界の神話３	吉田　敦彦	164	ﾖ	3	筑摩書房	1985
	15900	19860723	追われ行くカモシカたち	ちくま少年図書館　３５	浜　昇	489.85	ﾊﾉ	35	筑摩書房	1985
	16209	19870331	中国古典選　２０　／史記〈三〉	朝日文庫	田中　謙二／一海　知義	928	ｱ	20	朝日新聞社	1985
	16303	19870721	人間とは何か	岩波文庫	マーク・トウェイン．著／中野　好夫．訳	934.6	ﾄｳ		岩波書店	1987
9784-562016099	16365	19870721	世界科学者事典　１／生物学者		Ｄ・アボット／中村　禎里．訳	403	ｱ	1	原書房	1985
9784-562016105	16366	19870721	世界科学者事典　２／化学者		Ｄ・アボット／竹内　敬人．訳	403	ｱ	2	原書房	1986
9784-562016112	16367	19870721	世界科学者事典　３／天文学者		Ｄ・アボット／小尾　信彌．訳	403	ｱ	3	原書房	1987
9784-562016129	16368	19870721	世界科学者事典　４／物理学者		Ｄ・アボット／渡辺　正雄．訳	403	ｱ	4	原書房	1986
9784-560022719	16616	19870731	ルソー選集　７　／社会契約論／政治経済論／	選集	ルソー／作田　啓一／阪上　孝．訳／	135.3	ﾙｿ		白水社	1986
	16732	19870731	みずうみ　／他４編	岩波文庫	シュトルム／関　泰祐．訳	943	ｼ		岩波書店	1987
9784-562016136	17364	19880512	世界科学者事典　５／数学者		Ｄ・アボット／齋藤　正彦．訳	403	ｱ	5	原書房	1987
9784-562016143	17365	19880512	世界科学者事典　６／技術者		Ｄ・アボット／坂本　賢三．訳	403	ｱ	6	原書房	1987
9784-562016150	17366	19880512	世界科学者事典　別巻／総索引		Ｄ・アボット／伊東　俊太郎．監修	403	ｱ	別	原書房	1987
9784-905579953	17480	19880601	ヒロシマという名の街で		小笠　邦久	913.6	ｵｶ		蝸牛社	1987
9784-101275086	17797	19880723	料理人の休日	新潮文庫	辻　静雄	913.6	ﾂｼﾞ		新潮社	1988
9784-524244263	17842	19880723	高血圧の正しい知識			498.81	ﾌｼ11		南江堂	1985
9784-092170124	18000	19890105	航空　／飛行機のあゆみ	小学館の学習百科図鑑　１２	小学館	538	ｼ	12	小学館	1985
9784-003102466	18199	19890217	藤村文明論集	岩波文庫	島崎　藤村／十川　信介．編	914.6	ｼﾄ		岩波書店	1988
	18251	19890315	大辞林	辞典	松村　明	813.1	ﾏｱ		三省堂	1988
9784-003315729	18422	19890324	きけ　わだつみのこえ【第２集】　／日本戦没学生の手記／	岩波文庫	日本戦没学生記念会．編	916	ﾆﾎ		岩波書店	1988
9784-061237421	18442	19890324	レトリック感覚　／ことばは新しい視点をひらく		佐藤　信夫	801	ｻ		講談社	1988
9784-532088538	18591	19890515	Ｑ＆Ａ　経済常識１００問１００問　【８９年版】		日本経済新聞社．編	330	ﾆ		日本経済新聞社	1989
	19263	19890707	慣用　ことわざ辞典	辞典	尚学図書	388.8	ｼ		小学館	1988
9784-061943179	19438	19890901	ああ無情　／少年少女世界文学館１７	少年少女世界文学館１７	ビクトル・ユーゴー／塚原　亮一．訳	908	ｺ	17	講談社	1989
	19647	19670401	国際労働経済統計年鑑　【特製版】		国際労働事務局	366.05	ｺ	1964	日本ＩＬＯ協会	1966
9784-101123158	19741	19891026	沈黙	新潮文庫	遠藤　周作	913.6	ｴﾝ		新潮社	1989
	19929	19900208	ふざけるな！　校則　--負けるな！全国の中学・高校生へ！　パート１--		はやし　たけし	376.4	ﾊ		駒草出版	1987
9784-003101131	20363	19900425	道草	岩波文庫	夏目　漱石	913.6	ﾅｿ		岩波書店	1990
	20470	19900510	古典落語　〈大尾〉	講談社文庫	興津　要．編	913.7	ｵｶ	4	講談社	1974
9784-124026573	20679	19900703	日本の絵巻７／餓鬼草紙／地獄草紙／病草紙／九相詩絵巻	画集〈日本の絵巻〉	中央公論社／小松　茂美．編	721.2	ﾁ	7	中央公論社	1989
9784-309402789	20926	19900926	水府	河出文庫	津島　佑子	913.6	ﾂｼ		河出書房新社	1990
	20938	19900928	ギャラリー　１９９０		ギャラリーシルバー企画	703.8	ｷﾞ	1990	ギャラリーシルバー企画	1990
	20939	19900928	ギャラリー　１９８９		ギャラリーシルバー企画	703.8	ｷﾞ	1989	ギャラリーシルバー企画	1989
9784-106003516	21144	19901129	キリスト教とイスラム教　／どう違うか５０のＱ＆Ａ／	新潮選書	ひろ　さちや	190	ﾋ		新潮社	1989
9784-002600536	21258	19910108	黄昏記	同時代ライブラリー　５３	真野　さよ	913.6	ﾏﾉ		岩波書店	1990
9784-795800120	21350	19910125	気分はだぼだぼソース		椎名　誠	914.6	ｼﾏ		情報センター出版局	1990
9784-106207013	21585	19910219	古事記／日本書紀　／新潮古典文学アルバム　１	新潮古典文学アルバム　１	神野志　隆光／大庭　みな子	910.8	ｼ	1	新潮社	1991
9784-522011904	21682	19910312	花言葉物語　／贈る花に想いをこめて／	フォト＆ストーリー	永岡書店	627	ﾅ		永岡書店	1990
	21724	19910408	アメリカ黒人の歴史　【新版】	岩波新書Ｒ１６５	本田　創造	316.8	ﾎ		岩波書店	1991
9784-061490451	21911	19910509	生と死のウィーン　--世紀末を生きる都市--	講談社現代新書１０４５	ロート　美恵	234.6	ﾛ-		講談社	1991
9784-416191064	22109	19910607	一太郎“マル秘”文章テクニック　／あなたもちょっとした本づくりを！		涌井　良幸／涌井　貞美．共著	548.2	ﾜﾖ		誠文堂新光社	1991
9784-000031417	22262	19910621	ブックレットのぶっくれっと	岩波ブックレット　Ｎｏ．２０１	岩波書店編集部．編	023.1	ｲﾜ		岩波書店	1991
9784-061965331	22284	19910625	三国志 1	吉川英治歴史時代文庫33	吉川英治著	913.6	ﾖｼ	1	講談社	1991
9784-048832458	22310	19910627	SELDOM-ILLEGAL　--時には、違法--		坂本　龍一	914.6	ｻｶ		角川書店	1989
	22386	19910704	家庭でつくるこだわり食品　３　--芋・コンニャク・山菜・きのこ・木の実・薬草--		佐竹　秀雄／矢住　ハツノ・山田　安子／岩城　由子．共著	588	ｻ	3	農文協	1990
9784-313650435	22588	19910913	園児と心で握手　--「言葉かけ」うまい例へたな例--		清水　エミ子	376.1	ｼ		学陽書房	1991
9784-010775226	23025	19911129	旺文社・漢和辞典　【重版】	辞典	赤塚　忠．他編	813.2	ｵ		旺文社	1990
	23093	19911213	オカルト	講談社現代新書８３２	坂下　昇	147	ｻ		講談社	1991
9784-041314241	23110	19911218	田辺聖子の小倉百人一首	角川文庫	田辺　聖子	911.147	ﾀ		角川書店	1991
9784-480771063	23350	19920109	ドストエフスキー全集　６	全集	ドストエフスキー／小沼　文彦．訳	988	ﾄﾞ	6	筑摩書房	1991
9784-002601021	23691	19920408	酒呑童子異聞	同時代ライブラリー１０２	佐竹　昭広	913.4	ｻﾀ		岩波書店	1992
9784-120021107	23758	19920415	父の居場所		諸井薫 著	914.6	ﾓﾛ		中央公論社	1992
	23858	19920506	続　パイプのけむり	朝日文庫	團　伊玖磨	914.6	ﾀﾞｲ	2	朝日新聞社	1983
	23859	19920506	続々　パイプのけむり	朝日文庫	團　伊玖磨	914.6	ﾀﾞｲ	3	朝日新聞社	1981
9784-022600240	23860	19920506	又　パイプのけむり	朝日文庫	團　伊玖磨	914.6	ﾀﾞｲ	4	朝日新聞社	1982
	23866	19920506	淋しいおさかな : 別役実童話集		別役　実	913.8	ﾍﾞﾂ		三一書房	1990
9784-272110735	23947	19920515	現代の金融　〈上〉／現代金融の制度と理論		谷田　庄三／野田　正穂／久留間　健．編	338	ﾀｼ	上	大月書店	1992
9784-022600219	23953	19920515	バイプのけむり	朝日文庫	團　伊玖磨	914.6	ﾀﾞ		朝日新聞社	1990
9784-101225111	24086	19920601	少年	新潮文庫	ビートたけし／北野　武	913.6	ｷ		新潮社	
9784-001152739	24123	19920608	式と方程式　／数学が生まれる物語　３		志賀　浩二	410	ｼｺ	3	岩波書店	1992
9784-101025018	24295	19920616	羅生門／鼻	新潮文庫	芥川　竜之介	913.6	ｱ		新潮社	1990
9784-560073223	24325	19920623	西洋音楽史　１　／ルネサンスの音楽／	白水μブックス	フリードリヒ・ブルーメ／和田　旦／佐藤　巌．訳	762	ﾌﾞ		白水社	1992
9784-002601175	24557	19920902	体験的憲法裁判史	同時代ライブラリー ; 117	新井章 著	327	ｱﾗ		岩波書店	1992
9784-560073223	24566	19920902	西洋音楽史　２　／バロックの音楽／	白水μブックス	フリードリヒ・ブルーメ／和田　旦／佐藤　巌．訳	762	ﾌﾞ		白水社	1992
9784-385153575	24584	19920911	地球環境の事典		宇井　純／根本　順吉／山田　國廣	519	ｳｼ		三省堂	1992
9784-560045626	24686	19921005	リスボアを見た女		阿刀田高 著	913.6	ｱﾄ		白水社	1992
9784-532160692	25001	19921208	続・名言の内側　／色褪せぬ先人の知恵／		木村　尚三郎／外山　滋比古／村上　吉廣	159.8	ｷ		日本経済新聞社	1992
9784-001157239	25593	19940617	ジム・ボタンの機関車大旅行	岩波世界児童文学集２３	ミヒャエル・エンデ／上田　真而子．訳	908	ｲ	23	岩波書店	1994
9784-765543965	25757	19930527	ロボット工作のはなし		佐伯　平二	548.3	ｻﾍ		技報堂出版	1993
9784-831505859	25785	19930527	インダストリアルデザイナーになるには	なるにはＢｏｏｋｓ  69	石川　弘	366.2	ﾅﾙ	69	ぺりかん社	1993
9784-480022592	26325	19931116	太宰治全集　９　／斜陽／人間失格／クッド・バイ／	文庫版全集	太宰　治	918.68	ﾀﾞ	9	筑摩書房	1992
	26396	19931125	憲法入門		樋口　陽一	323.14	ﾋﾖ		勁草書房	1993
9784-810371222	26468	19931201	愛と変身の　ギリシア神話	面白ブックス１８	吉田　敦彦	164.31	ﾖ		同文書院	1993
9784-469211672	26491	19931216	教養のためのドイツ語		下宮　忠雄	840	ｼ		大修館書店	1991
9784-380930164	26612	19940124	ミステリー殺しのテクニック	三一新書	殺人トリック研究会．編	901.3	ｻ		三一書房	1993
9784-121011695	26723	19940209	色彩心理学入門　--ニュートンとゲーテの流れを追って--	中公新書１１６９	大山　正	141.2	ｵｵ		中央公論社	1994
9784-820571285	26733	19940215	日本女性人名辞典	辞典	芳賀　登／一番ヶ瀬　康子．他	281.03	ﾊﾉ		日本図書センター	1993
9784-121011732	26805	19940307	ロシア国籍日本人の記録 : シベリア抑留からソ連邦崩壊まで	中公新書	川越史郎 著	289.1	ｶﾜ		中央公論社	1994
9784-309003924	26816	19940307	月山抄		森　敦	914.6	ﾓﾘ		河出書房新社	1985
9784-906300617	27104	19940516	爆笑三國志　２		シブサワ　コウ．編	923	ｼｺ	2	光栄	1993
9784-003110416	27181	19940608	みそっかす	岩波文庫	幸田　文	913.6	ｺｳ		岩波書店	1994
9784-831506337	27196	19940613	自然保護レンジャーになるには	なるにはＢｏｏｋｓ　７３	自然保護レンジャー研究会．編	366.2	ﾅﾙ	73	ぺりかん社	1994
9784-309007410	27228	19940622	少年アリス　／三月うさぎのお茶会へ行く		長野　まゆみ	913.6	ﾅｶﾞ		河出書房新社	1992
9784-062570169	27246	19940628	解ければ天才！ 算数１００の難問・奇問　４　／究極の算数がここにある／	BLUE BACKS Ｂ-１０１６	中村　義作	410	ﾅ		講談社	1994
9784-311201165	27311	19940704	エミシとは何か　／古代東アジアと北方日本　／日本文化の起源を北に探る	角川選書　２４７	中西　進	210.3	ﾅｽ		角川書店	1994
9784-309222479	27338	19940704	三国志故事物語		駒田　信二	222	ｺﾏ		河出書房新社	1993
9784-915053214	27795	19941222	イラスト面白四字熟語		ゴリングループ．編	813.4	ｺﾞ		島出版	1994
9784-906300655	27910	19950131	爆笑クイズ三国志	歴史人物笑史	シブサワ・コウ 光栄出版部 企画編集	222	ｼﾌﾞ		光栄	1993
9784-480026798	28030	19950221	夢野久作全集　９　／ドグラ・マグラ／	文庫版全集	夢野　久作	918.6	ﾕﾒ	9	筑摩書房	1992
9784-257034056	28060	19950302	天気の好い日は小説を書こう　／Ｗ大学文芸科創作教室		三田　誠広	901.3	ﾐﾀ		朝日ソノラマ	1994
9784-005002504	28075	19950308	チャップリン	岩波ジュニア新書２５０	江藤　文夫	778	ｴﾄ		岩波書店	1995
9784-002602196	28181	19940413	話せる英語術	同時代ライブラリー	上田　明子	830.7	ｳｴ		岩波書店	1995
9784-163500508	28226	19950419	ネコの亡命		椎名　誠	914.6	ｼﾏ		文藝春秋	1995
9784-022559548	28318	19950529	キャベツの丸かじり		東海林　さだお	914.6	ｼｻ		朝日新聞社	1991
9784-004304012	28678	19950906	災害救援	岩波新書	野田正彰 著	369.3	ﾉﾀﾞ		岩波書店	1995
9784-832491076	28779	19951018	オオカミと７ひきの子ヤギ　／カエルの王子	英文テキスト	堀口　俊一．編	837.7	ﾎ	7	朋友出版	
9784-104062010	28844	19951027	兵士に聞け		杉山　隆男	392.1	ｽﾀ		新潮社	1995
9784-121012685	28903	19951110	砂時計の七不思議　／粉粒体の動力学／	中公新書１２６８	田口　善弘	428	ﾀ		中央公論社	1995
9784-004304142	28913	19951110	芥川龍之介	岩波新書Ｒ４１４	関口　安義	910.2	ｾｷ		岩波書店	1995
9784-532520434	29044	19951204	グッチョ先生の森の学校　なんでこんな生物がいるの		盛口　満	480.4	ﾓ		日本経済新聞社	1995
9784-887240674	29139	19960122	ハーネス・光と愛の絆		大澤　美實	369.27	ｵﾖ		ディーエイチシー	1995
	29163	19960122	源吉じいさんとキツネ	絵本	なるみや　ますみ．作／狩野　ふきこ．絵	726.5	ﾅ		ひくまの出版	1995
9784-004304340	29394	19960312	転換期の国際政治	岩波新書	武者小路公秀 著	319	ﾑｼ		岩波書店	1996
9784-750307718	29516	19960418	世界のマイノリティ事典	事典	マイノリティ・ライツ・グループ．編／マイノリティ事典翻訳委員会．訳	316.83	ﾏ		明石書店	1996
9784-582490213	29766	19960618	岐阜県の地名　／日本歴史地名大系２１巻		平凡社	215.3	ﾍ	21	平凡社	1993
9784-582132014	29855	19960709	世界民族問題事典	事典	梅棹　忠夫．監修／松原　正毅／ＮＩＲＡ	316.83	ｳﾀ		平凡社	1995
9784-003115015	29880	19960820	新美南吉童話集	岩波文庫	新美南吉 [著] ; 千葉俊二編	913.8	ﾆｲ		岩波書店	1996
	29977	19960902	自殺直前日記　山田花子（漫画家・故人）		山田　花子	145.7	ﾔ		太田出版	1996
9784-092073029	29992	19960904	日本妖怪異聞録		小松　和彦	289.3	ｶ		小学館	1992
9784-002602783	30069	19960920	紙の中の戦争	同時代ライブラリー　２７８	開高　健	914.6	ｶｲ		岩波書店	1996
9784-886822406	30089	19960927	とりたい!!　医療事務	ﾗｲｾﾝｽ･ﾗｲﾌﾞﾗﾘｰ２５	大栄出版編集部	366	ﾀﾞ	25	大栄出版	1996
9784-490103809	30152	19961011	数の話題事典		上野　富美夫．編	412	ｳﾌ		東京堂出版	1995
9784-535782334	30191	19961016	数学オリンピック　１９９１～１９９６		数学オリンピック財団．編	410	ｽ		日本評論社	1996
9784-622006015	30229	19961030	夜と霧　／ドイツ強制収容所の体験記録		Ｖ・Ｅ・フランクル／霜山　徳爾．訳	319.8	ﾌ		みすず書房	1996
	30254	19961108	人文系の小論文	学習参考書	河合塾小論文科	816	ｶ		河合出版	1995
	30335	19961115	世界の本１７　ドイツ・ベルリン１２０ﾊﾟｰｾﾝﾄガイド	ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	17	日地出版	1996
9784-527005205	30336	19961115	世界の本２０　フランス・パリ１２０ﾊﾟｰｾﾝﾄガイド	ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	20	日地出版	1996
	30338	19961115	世界の本２４　西安・雲南・シルクロード１２０ﾊﾟｰｾﾝﾄガイド	ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	24	日地出版	1996
9784-480101211	30452	19961209	恋はきまぐれ　／新・ちくま文学の森　１	新・ちくま文学の森　１	筑摩書房	908	ﾁ	1	筑摩書房	1994
9784-480101280	30459	19961209	からだの発見　／新・ちくま文学の森　８	新・ちくま文学の森　８	筑摩書房	908	ﾁ	8	筑摩書房	1995
9784-882931287	30474	19961211	仁木兄妹の探偵簿　／雄太郎・悦子の全事件　\x87@兄の巻		仁木　悦子	913.6	ﾆｷ	兄	出版芸術社	1996
9784-882931294	30475	19961211	仁木兄妹の探偵簿　／雄太郎・悦子の全事件　\x87A妹の巻		仁木　悦子	913.6	ﾆｷ	妹	出版芸術社	1996
9784-309010151	30487	19961213	賢治先生		長野　まゆみ	913.6	ﾅｶﾞ		河出書房新社	1995
9784-877192419	30493	19961213	爆笑　北欧神話　／歴史人物笑史／	歴史人物笑史	シブサワ　コウ．編	164.3	ｼ		光栄	1995
9784-103318217	30506	19961213	和菓子屋の息子　／ある自伝的試み		小林　信彦	289.1	ｺﾉ		新潮社	1996
9784-871907224	30604	19970110	看護婦入門ハンドブック　／これからのナースが見えてくる資格と仕事の必携ガイド　【改訂新版】	やりがいのライセンス	大木　節子／高木　裕	498.14	ｵｾ		オーエス出版	1996
9785-540960632	30606	19970128	科学を感じる　あそび事典／したいさせさせたいビックリ実験１００集		山田　卓三．文／トミタ・イチロー．絵／	407	ﾔﾀ		農山漁村文化協会	1996
9784-582128048	30612	19970114	字通	辞典	白川　静	813.2	ｼｼ		平凡社	1996
9784-062508018	30799	19970401	古事記　／少年少女古典文学館　１	少年少女古典文学館　１	橋本　治	918	ｺ	1	講談社	1996
9784-004305002	30964	19970513	日本社会の歴史　（上）	岩波新書Ｒ５００	網野　善彦	210.1	ｱﾐ	上	岩波書店	1997
9784-048728690	31053	19970606	生真面目な心臓		永井　明	913.6	ﾅ		角川書店	1995
9784-881354186	31066	19970606	西洋魔物図鑑		江口　之隆	147.6	ｴ		翔泳社	1996
9784-770021281	31075	19970606	アメリカ日常生活のマナーＱ＆Ａ　【対訳】	Bilingual Books	ジェームズ・Ｍ・バーダマン／倫子・バーダマン	837.8	ﾊﾞ		講談社インターナショナル	1997
9785-163635009	31170	19970627	花のチカラ		辰宮　太一．監修／山田　真理．文／近藤　正一／山口　規子．写真	471.7	ﾔﾏ		文藝春秋	1997
9784-535782105	31264	19970718	算数・数学なっとく事典		数学教育協議会／銀林　浩．編	410.7	ｽ		日本評論社	1996
9784-535781979	31273	19970820	算数・数学なぜなぜ事典		数学教育協議会／銀林　浩．編	410.7	ｽ		日本評論社	1997
9784-257034612	31285	19970820	深くておいしい小説の書き方　／Ｗ大學文芸科創作教室		三田　誠広	901.3	ﾐﾀ		朝日ソノラマ	1996
	31507	19971031	八十八年の歩み　／渓泉学園・多治見西高等学校	写真集	多治見西高等学校	376.43	ﾀ	1	多治見西高等学校	1996
9784-121013927	31631	19971205	中世都市鎌倉を歩く　--源頼朝から上杉謙信まで--	中公新書１３９２	松尾　剛次	210.4	ﾏﾂ		中央公論社	1997
9784-838709359	31660	19971219	源氏の男はみんなサイテー　／親子小説としての源氏物語		大塚　ひかり	913.36	ｵ		マガジンハウス	1997
9784-004305477	31890	19980306	弔辞	岩波新書Ｒ５４７	新藤　兼人	281	ｼﾝ		岩波書店	1998
9784-062085472	32018	19980413	それでも吐き続けた私　／過食症を克服した２９歳の記録		冨田　香里	493.7	ﾄｶ		講談社	1997
	32080	19980427	パルステラ　--東逸子画集--	画集	東　逸子	726.5	ｱ		サンリオ	1987
	32117	19980508	フランス童話集　\x87V　／美女と野獣	世界民話童話翻訳ｼﾘｰｽﾞ１７	ボーモン夫人／中島　和子．訳	908	ﾄ	17	東洋文化社	1981
9784-257034926	32227	19980616	書く前に読もう超明解文学史　／Ｗ大學文芸科創作教室		三田　誠広	910.2	ﾐﾀ		朝日ソノラマ	1997
9784-893612588	32231	19980622	アメリカの小学生はどう英語を覚えるか		メアリーベス・スーザ	375.89	ｽ		はまの出版	1998
	3230	19630219	謡曲集　〈下〉　／日本古典文学大系　４１	日本古典文学大系　４１	後藤　丹治．他	912.3	ﾖﾏ	41	岩波書店	1963
9784-093453318	32342	19980707	くりやのくりごと : リンボウ先生家事を論ず		林　望	914.6	ﾊﾔ		筑摩書房	1998
9784-000800884	32350	19980707	岩波＝ケンブリッジ　世界人名辞典	辞典	ディヴィッド・クリスタル．編／金子　雄司．他訳	280.3	ｸ		岩波書店	1997
9784-389500351	32479	19980918	千畝　／一万人の命を救った外交官・杉原千畝の謎		ヒレル・レビン．著／諏訪　澄／篠　輝久．監修・訳	289.1	ｽﾁ		清水書院	1998
9784-062093675	32547	19981005	果つる底なき		池井戸潤 著	913.6	ｲｹ		講談社	1998
9784-566034075	32563	19981012	算数・数学ランド　／おもしろ探検事典／疑問が解けて好きになれる		仲田　紀夫	410	ﾅﾉ		評論社	1998
9784-198608699	32581	19981016	小説「聖書」新約篇		ウォルター・ワンゲリン／仲村　明子．訳	193.5	ﾜ		徳間書店	1998
9784-532170554	32675	19981117	刑事たちの夏		久間十義 著	913.6	ﾋｻ		日本経済新聞社	1998
9784-770023704	32824	19990107	ホームズの名推理・ベスト５　［ルビ訳］	Ｒｕｂｙ　Ｂｏｏｋｓ	コナン・ドイル	837.7	ﾄﾞ		講談社インターナショナル	1998
9784-770023735	32939	19990208	老人と海　［ルビ訳］	Ｒｕｂｙ　Ｂｏｏｋｓ	アーネスト・ヘミングウェイ	837.7	ﾍ		講談社インターナショナル	1998
9784-093621113	32957	19990219	江戸化物草紙		アダム・カバット．校注	913.55	ｶ		小学館	1999
9784-163548005	33052	19990325	ぼくがすすめるがん治療		近藤　誠	498.14	ﾌｺ		文藝春秋	1999
	33074	19990325	本当は恐ろしいグリム童話		桐生　操	943	ｸﾞ	1	ＫＫベストセラーズ	1999
9784-770021618	33081	19990325	英語で話す「仏教」Ｑ＆Ａ　【対訳】	Bilingual Books	ジェームズ・Ｍ・バーダマン．訳　／高田　佳人	837.8	ﾀ		講談社インターナショナル	1997
9784-398215574	33107	19990412	旅の韓国語会話	個人旅行ハンドブック　７	Ｋ＆Ｂパブリッシャーズ	829.1	ｸ		Ｋ＆Ｂパブリッシャーズ	1998
9784-896913699	33140	19990415	戦国合戦の常識が変わる本		藤本　正行	210.47	ﾌﾏ		洋泉社	1999
