ISBN	登録番号	受入日	書名	書名かな	副書名	副書名かな	叢書名等	叢書名等かな	著者名	著者名かな	媒体種別	分類記号	図書記号	巻冊記号	出版社	版年	頁数	判型	本体価格	TRCMARCNO	内容紹介	件名	財源	受入先	価格	保管場所	別置記号	備考	付記事項	注記	除籍フラグ	除籍年月日	除籍番号	除籍理由	不明図書フラグ	不明日	不明理由	未点検回数	帯出禁止フラグ	バーコード印刷済フラグ	背ラベル印刷済フラグ	任意項目
	8	1983/3/2	現代詩人全集　５　／北原白秋／三木露風／川路柳虹	ｹﾞﾝﾀﾞｲｼｼﾞﾝｾﾞﾝｼｭｳ5/ｷﾀﾊﾗﾊｸｼｭｳ/ﾐｷﾛﾌｳ/ｶﾜｼﾞﾘｭｳｺｳ			詩人全集		新潮社／北原　白秋／三木　露風／川路　柳虹／	ｼﾝﾁｮｳｼｬ/		918.6	ｷ	5	新潮社	1929	510	19			北原白秋集／三木露風集／川路柳虹集／	詩－日本／日本文学－現代－詩／  北原白秋 (1885-1942) ∥キタハラハクシュウ  三木露風 (1889-1964) ∥ミキロフウ  川路柳虹 (1888-1959) ∥カワジリュウコウ	寄付			一般書架			１９８３．０３．０２		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	3230	1963/2/19	謡曲集　〈下〉　／日本古典文学大系　４１	ﾖｳｷｮｸｼｭｳ｢ｹﾞ｣/ﾆﾎﾝｺﾃﾝﾌﾞﾝｶﾞｸﾀｲｹｲ41			日本古典文学大系　４１		後藤　丹治．他	ｺﾞﾄｳﾀﾝｼﾞ.ﾀ		912.3	ﾖﾏ	41	岩波書店	1963	488	22	800		謡曲／禅竹関係の能／宮増関係の能／信光の能／長俊の能／禅鳳の能／世阿弥時代の能／	謡曲／日本文学－室町／世阿弥／能楽／		寄贈者	800	一般書架			１９６３．０２．１９		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	4838	1966/4/11	世界の名著　６　プラトンⅠ	ｾｶｲﾉﾒｲﾁｮ6ﾌﾟﾗﾄﾝ1			世界の名著	ｾｶｲﾉﾒｲﾁｮ	田中　美知太郎	ﾀﾅｶﾐﾁﾀﾛｳ		108	ｾｶ	6	中央公論社	1966	606	18	480			哲学／プラトン／古代ギリシア哲学／			480	一般書架			１９６６．０４．１１		FALSE				FALSE				FALSE	TRUE	TRUE	
	4890	1966/5/21	岩波西洋人名辞典	ｲﾜﾅﾐｾｲﾖｳｼﾞﾝﾒｲｼﾞﾃﾝ			辞典		岩波書店編集部．編	ｲﾜﾅﾐｼｮﾃﾝﾍﾝｼｭｳﾌﾞ.ﾍﾝ		280.3	ｲ		岩波書店	1956	1962	22	2500			人名辞典－西洋／			2500	一般書架			１９６６．０５．２１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	5006	1966/6/26	世界美術全集　２３／民族美術	ｾｶｲﾋﾞｼﾞｭﾂｾﾞﾝｼｭｳ23/ﾐﾝｿﾞｸﾋﾞｼﾞｭﾂ			全集		角川書店	ｶﾄﾞｶﾜ		708	ｶ	23	角川書店	1965	246	27	1300			美術－図集／原始宗教／アイヌ／マヤ文明／インカ文化／インディアン／ラマ教／シャーマニズム／			1300	一般書架			１９６６．０６．２６		FALSE				FALSE			3	FALSE	TRUE	TRUE	
	5825	1970/1/14	日本民俗資料事典	ﾆﾎﾝﾐﾝｿﾞｸｼﾘｮｳｼﾞﾃﾝ					文化庁文化財保護部．監修／祝　宮静．他編	ﾌﾞﾝｶﾁｮｳﾌﾞﾝｶｻﾞｲﾎｺﾞﾌﾞ.ｶﾝｼｭｳ/ﾎﾌﾘﾐﾔｼｽﾞ.ﾀﾍﾝ		380.1	ﾌﾞ		第一法規出版	1969	412	27	3800			民俗学－事典／日本－風俗／			3800	一般書架			１９７０．０１．１４		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	5998	1971/8/6	運命論者／号外	ｳﾝﾒｲﾛﾝｼｬ/ｺﾞｳｶﾞｲ			旺文社文庫		国木田　独歩	ｸﾆｷﾀﾞﾄﾞｯﾎﾟ		913.6	ｸﾆ		旺文社	1971	203	15	240			小説－日本／			240	文庫書架			１９７１．０８．０６		FALSE				FALSE				FALSE	TRUE	TRUE	
	6497	1975/6/19	科学技術人名辞典	ｶｶﾞｸｷﾞｼﾞｭﾂｼﾞﾝﾒｲｼﾞﾃﾝ					Ｉ・アシモフ／皆川　義雄．訳	I･ｱｼﾓﾌ/ﾐﾅｶﾞﾜﾖｼｵ.ﾔｸ		403	ｱ		共立出版	1972	672	19	2800						2800	一般書架			１９７５．０６．１９		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	7391	1976/11/1	第二十六回　日本統計年鑑　／昭和五十一年（１９７６）	ﾀﾞｲ26ｶｲﾆﾎﾝﾄｳｹｲﾈﾝｶﾝ/ｼｮｳﾜ51ﾈﾝ(1976)					総理府統計局	ｿｳﾘﾌﾄｳｹｲｷｮｸ		351.05	ﾏ	1976	毎日新聞社	1976	680	27	6800						6800	一般書架			１９７６．１１．０１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	7662	1977/2/24	江戸時代図誌　６／江戸３	ｴﾄﾞｼﾞﾀﾞｲｽﾞｼ6/ｴﾄﾞ3					西山　松之助	ﾆｼﾔﾏﾏﾂﾉｽｹ		210.5	ﾆﾏ	6	筑摩書房	1977	167	30	2200						2200	一般書架			１９７７．０２．２４		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	8143	1979/6/25	時刻表２万キロ	ｼﾞｺｸﾋｮｳ2ﾏﾝｷﾛ					宮脇　俊三	ﾐﾔﾜｷｼｭﾝｿﾞｳ		915.6	ﾐﾔ		河出書房新社	1978	254	20	880						880	一般書架			１９７９．０６．２５		FALSE				FALSE				FALSE	TRUE	TRUE	
	9724	1983/3/29	行幸啓記念誌　／回顧と展望	ｷﾞｮｳｺｳｹｲｷﾈﾝｼ/ｶｲｺﾄﾃﾝﾎﾞｳ					武庫川学院／井上　実	ﾑｺｶﾞﾜｶﾞｸｲﾝ/ｲﾉｳｴﾐﾉﾙ		377.2	ｲﾐ		武庫川学院	1957	160	26					寄付			一般書架					FALSE				FALSE				FALSE	TRUE	TRUE	
	10294	1983/3/31	廣漢和辞典　上	ﾋﾛｲｶﾝﾜｼﾞﾃﾝｼﾞｮｳ			辞典		諸橋　轍次／鎌田　正／米山　寅太郎．共著	ﾓﾛﾊﾞｼﾃﾂｼﾞ/ｶﾏﾀﾀﾀﾞｼ/ﾖﾈﾔﾏﾄﾗﾀﾛｳ.ｷｮｳﾁｮ		813.2	ﾓﾃ	上	大修館書店	1981	1303	27	14000						14000	一般書架			１９８３．０３．３１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	10295	1983/3/31	廣漢和辞典　中	ﾋﾛｲｶﾝﾜｼﾞﾃﾝﾁｭｳ			辞典		諸橋　轍次／鎌田　正／米山　寅太郎．共著	ﾓﾛﾊﾞｼﾃﾂｼﾞ/ｶﾏﾀﾀﾀﾞｼ/ﾖﾈﾔﾏﾄﾗﾀﾛｳ.ｷｮｳﾁｮ		813.2	ﾓﾃ	中	大修館書店	1982	1411	27	14000						14000	一般書架			１９８３．０３．３１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	10296	1983/3/31	廣漢和辞典　下	ﾋﾛｲｶﾝﾜｼﾞﾃﾝｹﾞ			辞典		諸橋　轍次／鎌田　正／米山　寅太郎．共著	ﾓﾛﾊﾞｼﾃﾂｼﾞ/ｶﾏﾀﾀﾀﾞｼ/ﾖﾈﾔﾏﾄﾗﾀﾛｳ.ｷｮｳﾁｮ		813.2	ﾓﾃ	下	大修館書店	1982	1441	27	14000						14000	一般書架			１９８３．０３．３１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	12337	1984/2/5	北の国から　前編	ｷﾀﾉｸﾆｶﾗｾﾞﾝﾍﾟﾝ					倉本　聰	ｸﾗﾓﾄｿｳ		912.7	ｸ	1	理論社	1982	299	20	980						980	一般書架			１９８４．０２．０５		FALSE				FALSE				FALSE	TRUE	TRUE	
	12436	1984/2/22	経済学大辞典　Ⅰ	ｹｲｻﾞｲｶﾞｸﾀﾞｲｼﾞﾃﾝ1					編集委員	ﾍﾝｼｭｳｲｲﾝ		330.3	ﾄ	1	東洋経済新報社	1981	1037	27	15000						15000	一般書架			１９８４．０２．２２		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	12437	1984/2/22	経済学大辞典　Ⅱ	ｹｲｻﾞｲｶﾞｸﾀﾞｲｼﾞﾃﾝ2					編集委員	ﾍﾝｼｭｳｲｲﾝ		330.3	ﾄ	2	東洋経済新報社	1980	960	27	15000						15000	一般書架			１９８４．０２．２２		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	12439	1984/2/22	角川日本地名大辞典　２１　／岐阜県	ｶﾄﾞｶﾜﾆﾎﾝﾁﾒｲﾀﾞｲｼﾞﾃﾝ21/ｷﾞﾌｹﾝ			地名辞典	ﾁﾒｲｼﾞﾃﾝ	編纂委員会	ﾍﾝｻﾝｲｲﾝｶｲ		291.03	ｶ	21	角川書店	1980	1382	23								一般書架			１９８４．０２．２２		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	13507	1984/8/28	岐阜県百科事典　上	ｷﾞﾌｹﾝﾋｬｯｶｼﾞﾃﾝｼﾞｮｳ			事典		岐阜県百科事典制作委員会	ｷﾞﾌｹﾝﾋｬｯｶｼﾞﾃﾝｾｲｻｸｲｲﾝｶｲ		291.53	ｷﾞ	上	岐阜日日新聞社	1968	812	27	5750						5750	一般書架			１９８４．０８．２８		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	13508	1984/8/28	岐阜県百科事典　下	ｷﾞﾌｹﾝﾋｬｯｶｼﾞﾃﾝｹﾞ			事典		岐阜県百科事典制作委員会	ｷﾞﾌｹﾝﾋｬｯｶｼﾞﾃﾝｾｲｻｸｲｲﾝｶｲ		291.53	ｷﾞ	下	岐阜日日新聞社	1968	821	27	5750						5750	一般書架			１９８４．０８．２８		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	14145	1985/3/18	太宰治全集　９	ﾀﾞｻﾞｲｵｻﾑｾﾞﾝｼｭｳ9			全集		太宰　治	ﾀﾞｻﾞｲｵｻﾑ		918.6	ﾀﾞｻﾞ	9	筑摩書房	1983	591	20	2000		メリイクリスマス／ヴィヨンの妻／母／父／女神／フォスフォレッスセンス／朝／斜陽／おさん／犯人／饗応婦人／酒の追憶／美男子と煙草／眉山／女類／桜桃／家庭の幸福／人間失格／グッド・バイ／				2000	一般書架			１９８５．０３．１８		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-641000025	14651	1985/7/27	新法律学辞典　【新版】	ｼﾝﾎｳﾘﾂｶﾞｸｼﾞﾃﾝ｢ｼﾝﾊﾟﾝ｣					我妻　栄	ﾜｶﾞﾂﾏｻｶｴ		321	ﾜｻ		有斐閣	1984	1287	21	4700						4700	一般書架			１９８５．０７．２７		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-250790034	14652	1985/7/27	日本社会運動人名辞典	ﾆﾎﾝｼｬｶｲｳﾝﾄﾞｳｼﾞﾝﾒｲｼﾞﾃﾝ			辞典		塩田　庄兵衛	ｼｵﾀｼｮｳﾍﾞｴ		309.02	ｼｼ		青木書店	1983	664	23	13000						13000	一般書架			１９８５．０７．２７		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	14954	1985/8/9	新明解漢和辞典　【第二版】	ｼﾝﾒｲｶｲｶﾝﾜｼﾞﾃﾝ｢ﾀﾞｲ2ﾊﾝ｣			辞典		長澤　規矩也．編	ﾅｶﾞｻﾜｷｸﾔ.ﾍﾝ		813.2	ﾅｷ		三省堂	1983	1239	18	1900						1900	一般書架			１９８５．０８．０９		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	14955	1985/8/9	新明解漢和辞典	ｼﾝﾒｲｶｲｶﾝﾜｼﾞﾃﾝ			辞典		長澤　規矩也．編	ﾅｶﾞｻﾜｷｸﾔ.ﾍﾝ		813.2	ﾅｷ		三省堂	1981	1239	18	1900						1900	一般書架			１９８５．０８．０９		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-313011618	15081	1985/8/14	教育小六法　／昭和６１年版	ｷｮｳｲｸｼｮｳﾛｯﾎﾟｳ/ｼｮｳﾜ61ﾈﾝﾊﾞﾝ			法律書	ﾎｳﾘﾂｼｮ	兼子　仁．編	ｶﾈｺﾋﾄｼ.ﾍﾝ		373.2	ｶﾋ		学陽書房	1985	869	19	1900						1900	一般書架			１９８５．０８．１４		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	15238	1985/10/16	大学でなにを学ぶか	ﾀﾞｲｶﾞｸﾃﾞﾅﾆｦﾏﾅﾌﾞｶ			岩波ジュニア新書３８		隅谷　三喜男	ｽﾐﾔﾐｷｵ		377	ｽ		岩波書店	1985	176	18	530						530	新書書架			１９８５．１０．１６		FALSE				FALSE				FALSE	TRUE	TRUE	
	15590	1986/3/5	和泉式部日記	ｲｽﾞﾐｼｷﾌﾞﾆｯｷ			岩波文庫		和泉式部／清水　文雄．校注	ｲｽﾞﾐｼｷﾌﾞ/ｼﾐｽﾞﾌﾐｵ.ｺｳﾁｭｳ		911.34	ｼ		岩波書店	1984	138	15	200						200	文庫書架			１９８６．０３．０５		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-010640715	15754	1986/7/23	雨月物語 : 現代語訳対照	ｳｹﾞﾂ ﾓﾉｶﾞﾀﾘ : ｹﾞﾝﾀﾞｲｺﾞﾔｸ ﾀｲｼｮｳ			旺文社文庫		[上田秋成著] ; 大輪靖宏訳注	ｳｴﾀﾞ  ｱｷﾅﾘ;ｵｵﾜ  ﾔｽﾋ		913.5	ｳｴ		岩波書店	1979	380	15	460						460	西高100冊			１９８６．０７．２３		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-652071014	15803	1986/7/23	兎の眼	ｳｻｷﾞﾉﾒ					灰谷　健次郎	ﾊｲﾀﾆｹﾝｼﾞﾛｳ		913.6	ﾊｲ		理論社	1986	286	20	980						980	西高100冊					FALSE				FALSE				FALSE	TRUE	TRUE	
9784-010611012	15839	1986/7/23	細雪　上巻	ｻｻﾒﾕｷｼﾞｮｳ			旺文社文庫		谷崎　潤一郎	ﾀﾆｻﾞｷｼﾞｭﾝｲﾁﾛｳ		913.6	ﾀﾆ	上	旺文社	1983	263	15	320						320	文庫書架			１９８６．０７．２３		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-010611029	15840	1986/7/23	細雪　中巻	ｻｻﾒﾕｷﾁｭｳ			旺文社文庫		谷崎　潤一郎	ﾀﾆｻﾞｷｼﾞｭﾝｲﾁﾛｳ		913.6	ﾀﾆ	中	旺文社	1983	339	15	360						360	文庫書架			１９８６．０７．２３		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-010611036	15841	1986/7/23	細雪　下巻	ｻｻﾒﾕｷｹﾞｶﾝ			旺文社文庫	ｵｳﾌﾞﾝｼｬﾌﾞﾝｺ	谷崎　潤一郎	ﾀﾆｻﾞｷｼﾞｭﾝｲﾁﾛｳ		913.6	ﾀﾆ	下	旺文社		391	15	380						380	文庫書架			１９８６．０７．２３		FALSE				FALSE				FALSE	TRUE	TRUE	
	15889	1986/7/23	ギリシア・ローマの神話　／人間に似た神さまたち／	ｷﾞﾘｼｱﾛｰﾏﾉｼﾝﾜ/ﾆﾝｹﾞﾝﾆﾆﾀｶﾐｻﾏﾀﾁ/			世界の神話３	ｾｶｲﾉｼﾝﾜ3	吉田　敦彦	ﾖｼﾀﾞｱﾂﾋｺ		164	ﾖ	3	筑摩書房	1985	213	20	980						980	一般書架			１９８６．０７．２３		FALSE				FALSE				FALSE	TRUE	TRUE	
	15900	1986/7/23	追われ行くカモシカたち	ｵﾜﾚﾕｸｶﾓｼｶﾀﾁ			ちくま少年図書館　３５		浜　昇	ﾊﾏﾉﾎﾞﾙ		489.85	ﾊﾉ	35	筑摩書房	1985	243	20	1200						1200	一般書架			１９８６．０７．２３		FALSE				FALSE				FALSE	TRUE	TRUE	
	16303	1987/7/21	人間とは何か	ﾆﾝｹﾞﾝﾄﾊﾅﾆｶ			岩波文庫		マーク・トウェイン．著／中野　好夫．訳	ﾏｰｸ･ﾄｳｪｲﾝ.ﾁｮ/ﾅｶﾉﾖｼｵ.ﾔｸ		934.6	ﾄｳ		岩波書店	1987	180	15	300						300	文庫書架			１９８７．０７．２１		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-562016099	16365	1987/7/21	世界科学者事典　１／生物学者	ｾｶｲｶｶﾞｸｼｬｼﾞﾃﾝ1/ｾｲﾌﾞﾂｶﾞｸｼｬ					Ｄ・アボット／中村　禎里．訳	D･ｱﾎﾞｯﾄ/ﾅｶﾑﾗﾃｲﾘ.ﾔｸ		403	ｱ	1	原書房	1985	282	27	9500						9500	一般書架			１９８７．０７．２１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-562016105	16366	1987/7/21	世界科学者事典　２／化学者	ｾｶｲｶｶﾞｸｼｬｼﾞﾃﾝ2/ｶｶﾞｸｼｬ					Ｄ・アボット／竹内　敬人．訳	D･ｱﾎﾞｯﾄ/ﾅｶﾑﾗﾃｲﾘ.ﾔｸﾀｹｳﾁﾖｼﾄ.ﾔｸ		403	ｱ	2	原書房	1986	269	27	9500						9500	一般書架			１９８７．０７．２１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-562016112	16367	1987/7/21	世界科学者事典　３／天文学者	ｾｶｲｶｶﾞｸｼｬｼﾞﾃﾝ3/ﾃﾝﾓﾝｶﾞｸｼｬ					Ｄ・アボット／小尾　信彌．訳	D･ｱﾎﾞｯﾄ/ｵﾋﾞｼﾝﾔ.ﾔｸ		403	ｱ	3	原書房	1987	274	27	9500						9500	一般書架			１９８７．０７．２１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-562016129	16368	1987/7/21	世界科学者事典　４／物理学者	ｾｶｲｶｶﾞｸｼｬｼﾞﾃﾝ4/ﾌﾞﾂﾘｶﾞｸｼｬ					Ｄ・アボット／渡辺　正雄．訳	D･ｱﾎﾞｯﾄ/ﾜﾀﾅﾍﾞﾏｻｵ.ﾔｸ		403	ｱ	4	原書房	1986	298	27	9500						9500	一般書架			１９８７．０７．２１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-560022719	16616	1987/7/31	ルソー選集　７　／社会契約論／政治経済論／	ﾙｿｰｾﾝｼｭｳ7/ｼｬｶｲｹｲﾔｸﾛﾝ/ｾｲｼﾞｹｲｻﾞｲﾛﾝ/			選集	ｾﾝｼｭｳ	ルソー／作田　啓一／阪上　孝．訳／	ﾙｿｰ/ｻｸﾀｹｲｲﾁ/ｻｶｶﾞﾐﾀｶｼ.ﾔｸ/		135.3	ﾙｿ		白水社	1986	262	18	1200						1200	西高100冊			１９８７．０７．３１		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-562016136	17364	1988/5/12	世界科学者事典　５／数学者	ｾｶｲｶｶﾞｸｼｬｼﾞﾃﾝ5/ｽｳｶﾞｸｼｬ					Ｄ・アボット／齋藤　正彦．訳	D･ｱﾎﾞｯﾄ/ｻｲﾄｳﾏｻﾋｺ.ﾔｸ		403	ｱ	5	原書房	1987	250	27	9500						9500	一般書架			１９８８．０５．１２		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-562016143	17365	1988/5/12	世界科学者事典　６／技術者	ｾｶｲｶｶﾞｸｼｬｼﾞﾃﾝ6/ｷﾞｼﾞｭﾂｼｬ					Ｄ・アボット／坂本　賢三．訳	D･ｱﾎﾞｯﾄ/ｻｶﾓﾄｹﾝｿﾞｳ.ﾔｸ		403	ｱ	6	原書房	1987	286	27	9500						9500	一般書架			１９８８．０５．１２		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-562016150	17366	1988/5/12	世界科学者事典　別巻／総索引	ｾｶｲｶｶﾞｸｼｬｼﾞﾃﾝ/ﾍﾞｯｶﾝ/ｿｳｻｸｲﾝ					Ｄ・アボット／伊東　俊太郎．監修	D･ｱﾎﾞｯﾄ/ｲﾄｳｼｭﾝｼｭﾝﾀﾛｳ.ｶﾝｼｭｳ		403	ｱ	別	原書房	1987	139	27	8000						8000	一般書架			１９８８．０５．１２		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-905579953	17480	1988/6/1	ヒロシマという名の街で	ﾋﾛｼﾏﾄｲｳﾅﾉﾏﾁﾃﾞ					小笠　邦久	ｵｶﾞｻｸﾆﾋｻ		913.6	ｵｶ		蝸牛社	1987	321	20	1400						1400	一般書架			１９８８．０６．０１		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-101275086	17797	1988/7/23	料理人の休日	ﾘｮｳﾘﾆﾝﾉｷｭｳｼﾞﾂ			新潮文庫		辻　静雄	ﾂｼﾞｼｽﾞｵ		913.6	ﾂｼﾞ		新潮社	1988	294	15	360						360	文庫書架			１９８８．０７．２３		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-524244263	17842	1988/7/23	高血圧の正しい知識	ｺｳｹﾂｱﾂﾉﾀﾀﾞｼｲﾁｼｷ								498.81	ﾌｼ11		南江堂	1985	65p	21cm								一般書架					FALSE				FALSE			1	FALSE	FALSE	TRUE	
9784-003102466	18199	1989/2/17	藤村文明論集	ﾄｳｿﾝﾌﾞﾝﾒｲﾛﾝｼｭｳ			岩波文庫		島崎　藤村／十川　信介．編	ｼﾏｻﾞｷﾄｳｿﾝ/ﾄｶﾞﾜｼﾝｽｹ.ﾍﾝ		914.6	ｼﾄ		岩波書店	1988	373	15	550						550	文庫書架			１９８９．０２．１７		FALSE				FALSE			1	FALSE	TRUE	TRUE	
	18251	1989/3/15	大辞林	ﾀﾞｲｼﾞﾘﾝ			辞典		松村　明	ﾏﾂﾑﾗｱｷﾗ		813.1	ﾏｱ		三省堂	1988	2641	25	6300						6300	一般書架			１９８９．０３．１５		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-003315729	18422	1989/3/24	きけ　わだつみのこえ【第２集】　／日本戦没学生の手記／	ｷｹﾜﾀﾞﾂﾐﾉｺｴ｢ﾀﾞｲ2ｼｭｳ｣/ﾆﾎﾝｾﾝﾎﾞﾂｶﾞｸｾｲﾉｼｭｷ/			岩波文庫		日本戦没学生記念会．編	ﾆﾎﾝｾﾝﾎﾞﾂｶﾞｸｾｲｷﾈﾝｶｲ.ﾍﾝ		916	ﾆﾎ		岩波書店	1988	395	15	600						600	西高100冊			１９８９．０３．２４		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-061237421	18442	1989/3/24	レトリック感覚　／ことばは新しい視点をひらく	ﾚﾄﾘｯｸｶﾝｶｸ/ｺﾄﾊﾞﾊｱﾀﾗｼｲｼﾃﾝｦﾋﾗｸ					佐藤　信夫	ｻﾄｳﾉﾌﾞｵ		801	ｻ		講談社	1988	264	20	1200						1200	一般書架			１９８９．０３．２４		FALSE				FALSE				FALSE	TRUE	TRUE	
	19263	1989/7/7	慣用　ことわざ辞典	ｶﾝﾖｳｺﾄﾜｻﾞｼﾞﾃﾝ			辞典	ｼﾞﾃﾝ	尚学図書	ｼｮｳｶﾞｸﾄｼｮ		388.8	ｼ		小学館	1988	424	19	1200						1200	一般書架			１９８９．０７．０７		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-061943179	19438	1989/9/1	ああ無情　／少年少女世界文学館１７	ｱｱﾑｼﾞｮｳ			少年少女世界文学館１７		ビクトル・ユーゴー／塚原　亮一．訳	ﾋﾞｸﾄﾙ･ﾕｰｺﾞｰ/ﾂｶﾊﾗﾘｮｳｲﾁ.ﾔｸ		908	ｺ	17	講談社	1989	302	22	1440						1440	一般書架			１９８９．０９．０１		FALSE				FALSE				FALSE	TRUE	TRUE	
	19647	1967/4/1	国際労働経済統計年鑑　【特製版】	ｺｸｻｲﾛｳﾄﾞｳｹｲｻﾞｲﾄｳｹｲﾈﾝｶﾝ｢ﾄｸｾｲﾊﾞﾝ｣					国際労働事務局	ｺｸｻｲﾛｳﾄﾞｳｼﾞﾑｷｮｸ		366.05	ｺ	1964	日本ＩＬＯ協会	1966	618	27	5000		無意味な蔵書－菫女子高校時代に購入				5000	一般書架			１９６７．０４．０１		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-101123158	19741	1989/10/26	沈黙	ﾁﾝﾓｸ			新潮文庫		遠藤　周作	ｴﾝﾄﾞｳｼｭｳｻｸ		913.6	ｴﾝ		新潮社	1989	256	15	360						360	西高100冊			１９８９．１０．２６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-124026573	20679	1990/7/3	日本の絵巻７／餓鬼草紙／地獄草紙／病草紙／九相詩絵巻	ﾆﾎﾝﾉｴﾏｷ7/ｶﾞｷｿｳｼ/ｼﾞｺﾞｸｿｳｼ/ﾔﾏｲｿｳｼ/ｷｭｳｿｳｼｴﾏｷ			画集〈日本の絵巻〉		中央公論社／小松　茂美．編	ﾁｭｳｵｳｺｳﾛﾝｼｬ/ｺﾏﾂｼｹﾞﾐ.ﾍﾝ		721.2	ﾁ	7	中央公論社	1989	147	35	3600						3600	一般書架			１９９０．０７．０３		FALSE				FALSE			1	FALSE	TRUE	TRUE	
9784-309402789	20926	1990/9/26	水府	ｽｲﾌ			河出文庫		津島　佑子	ﾂｼﾏﾕｳｺ		913.6	ﾂｼ		河出書房新社	1990	234	15	500						500	文庫書架			１９９０．０９．２６		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-106003516	21144	1990/11/29	キリスト教とイスラム教　／どう違うか５０のＱ＆Ａ／	ｷﾘｽﾄｷｮｳﾄｲｽﾗﾑｷｮｳ/ﾄﾞｳﾁｶﾞｳｶ50ﾉQ&A/			新潮選書	ｼﾝﾁｮｳｾﾝｼｮ	ひろ　さちや	ﾋﾛｻﾁﾔ		190	ﾋ		新潮社	1989	193	19	720						720	一般書架			１９９０．１１．２９		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-002600536	21258	1991/1/8	黄昏記	ﾀｿｶﾞﾚｷ			同時代ライブラリー　５３		真野　さよ	ﾏﾉｻﾖ		913.6	ﾏﾉ		岩波書店	1990	213	16	900						900	文庫書架			１９９１．０１．０８		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-106207013	21585	1991/2/19	古事記／日本書紀　／新潮古典文学アルバム　１	ｺｼﾞｷ/ﾆﾎﾝｼｮｷ/ｼﾝﾁｮｳｺﾃﾝﾌﾞﾝｶﾞｸｱﾙﾊﾞﾑ1			新潮古典文学アルバム　１		神野志　隆光／大庭　みな子	ｼﾞﾝﾉｼﾞﾀｶﾐﾂ/ｵｵﾊﾞﾐﾅｺ		910.8	ｼ	1	新潮社	1991	111	20	1300						1300	一般書架			１９９１．０２．１９		FALSE				FALSE				FALSE	TRUE	TRUE	
	21724	1991/4/8	アメリカ黒人の歴史　【新版】	ｱﾒﾘｶｺｸｼﾞﾝﾉﾚｷｼ｢ｼﾝﾊﾞﾝ｣			岩波新書Ｒ１６５		本田　創造	ﾎﾝﾀﾞｿｳｿﾞｳ		316.8	ﾎ		岩波書店	1991	260	18	580						580	新書書架			１９９１．０４．０８		FALSE				FALSE				FALSE	TRUE	TRUE	
9784-061490451	21911	1991/5/9	生と死のウィーン　--世紀末を生きる都市--	ｾｲﾄｼﾉｳｨｰﾝ--ｾｲｷﾏﾂｦｲｷﾙﾄｼ--			講談社現代新書１０４５		ロート　美恵	ﾛｰﾄﾐｴ		234.6	ﾛ-		講談社	1991	217	18	600						600	新書書架			１９９１．０５．０９		FALSE				FALSE				FALSE	TRUE	TRUE	
