d1	d2	d3	d4	d5	d6
セブンスタワー : 第七の塔. 5 (戦い)	ガース・ニクス 作、西本かおる 訳	小学館, 		933.7 ﾆｸ  一般書架	ISBN: 9784-092903555 RGTN: 39698 受入日: 20051208
セブンスタワー : 第七の塔. 6 (紫の塔)	ガース・ニクス 作、西本かおる 訳	小学館, 		933.7 ﾆｸ  一般書架	ISBN: 9784-092903562 RGTN: 39699 受入日: 20051208
続弾！　問題な日本語	北原　保雄．編	大修館書店, 		815 ｷﾔ 2 一般書架	ISBN: 9784-469221725 RGTN: 39700 受入日: 20051208
バスジャック	三崎亜記 著	集英社, 		913.6 ﾐｻ  一般書架	ISBN: 9784-087747867 RGTN: 39702 受入日: 20051208
恋の歌　／歌を読む詩集／あゆとサザンで学ぶ詩の世界	根本　浩	金の星社, 	詩集	911.66 ﾈﾋ 1 一般書架	ISBN: 9784-323068411 RGTN: 39703 受入日: 20051208
自分探しの歌　／歌を読む詩集／あゆとサザンで学ぶ詩の世界	根本　浩	金の星社, 	詩集	911.66 ﾈﾋ 3 一般書架	ISBN: 9784-323068435 RGTN: 39704 受入日: 20051208
ニート	絲山秋子 著	角川書店, 		913.6 ｲﾄ  一般書架	ISBN: 9784-048736435 RGTN: 39705 受入日: 20051208
絶滅危惧種を見に行く　／滅びゆく日本の動植物たち	藤田　一咲く	マガジンハウス, 		480.79 ﾌｲ  一般書架	ISBN: 9784-838712885 RGTN: 39706 受入日: 20051208
絶滅危惧種・日本の野鳥　／バードライフ編レッドデータ・ブックに見る日本の鳥	バードライフ・アジア．編／川那部　真．解説／谷口　高司．イラスト	東洋館出版社, 		480.79 ﾊﾞ  一般書架	ISBN: 9784-491019444 RGTN: 39707 受入日: 20051208
滅びゆく世界の動物たち　／世界の絶滅のおそれがある動物	黒川　光広．作	ポプラ社, 	ポプラ社の絵本図鑑．３	480.79 ｸﾐ 3 一般書架	ISBN: 9784-591049969 RGTN: 39708 受入日: 20051208
あの雲のむこうに	ポール・マッカートニー／ジェフ・ダンバー／フィリップ・アーダー／西川　美樹．訳	大和書房, 	絵本	726.6 ﾏ  一般書架	ISBN: 9784-479670650 RGTN: 39709 受入日: 20051208
物乞う仏陀	石井光太 著	文藝春秋, 		916 ｲｼ  一般書架	ISBN: 9784-163677408 RGTN: 39710 受入日: 20051208
家ってなんだろう　／子どもたちに伝えたい家の本　０１	益子　義弘	インデックス・コミュニケーションズ, 	子どもたちに伝えたい家の本　０１	527 ｲ 1 一般書架	ISBN: 9784-757302747 RGTN: 39711 受入日: 20051205
家のきおく　／子どもたちに伝えたい家の本　０２	みかんぐみ／加藤　朋子．作画	インデックス・コミュニケーションズ, 	子どもたちに伝えたい家の本　０２	527 ｲ 2 一般書架	ISBN: 9784-757302754 RGTN: 39712 受入日: 20051205
集まって住む　／子どもたちに伝えたい家の本　０５	元倉　眞琴	インデックス・コミュニケーションズ, 	子どもたちに伝えたい家の本　０５	527 ｲ 5 一般書架	ISBN: 9784-757302921 RGTN: 39713 受入日: 20051205
物語のある家　／子どもたちに伝えたい家の本　０６	妹島　和世	インデックス・コミュニケーションズ, 	子どもたちに伝えたい家の本　０６	527 ｲ 6 一般書架	ISBN: 9784-757302938 RGTN: 39714 受入日: 20051205
みちの家　／子どもたちに伝えたい家の本　０８	伊東　豊雄	インデックス・コミュニケーションズ, 	子どもたちに伝えたい家の本　０８	527 ｲ 8 一般書架	ISBN: 9784-757303188 RGTN: 39715 受入日: 20051205
中心のある家　／子どもたちに伝えたい家の本　０９	阿部　勤	インデックス・コミュニケーションズ, 	子どもたちに伝えたい家の本　０９	527 ｲ 9 一般書架	ISBN: 9784-757303195 RGTN: 39716 受入日: 20051205
すぐわかる西洋絵画の見かた　／【画家別】	岡部　昌幸	東京美術, 		720.79 ｵﾏ  一般書架	ISBN: 9784-808707170 RGTN: 39717 受入日: 20051208
